nome,qtd,categoria
SKETCHING,1,Outros
SML,1,Outros
SOAP,1,Desenvolvimento de Sistemas
SOCIABILIDADE,1,Habilidades Pessoais
SOCIAL COMPUTING,1,Outros
SOCIAL MEDIA,13,Comunicação
SOCIAL MEDIA ADVERTISING,1,Marketing e Vendas
SOCIAL MEDIA MARKETING,10,Marketing e Vendas
SOCIAL NETWORKING,1,Comunicação
SOCIAL SKILLS,1,Habilidades Pessoais
SOCIAL WEB,1,Comunicação
SOCKET.IO,1,Outros
SOFTWARE DESIGN,1,Desenvolvimento de Sistemas
SOFTWARE DEVELOPMENT,15,Desenvolvimento de Sistemas
SOFTWARE DOCUMENTATION,1,Qualidade de Software
SOFTWARE ENGINEERING,6,Desenvolvimento de Sistemas
SOFTWARE PROJECT MANAGEMENT,1,Gestão de Projetos
SOFTWARE TESTING PROCESS,1,Qualidade de Software
SOLIDWORKS,2,Engenharia
SOLUCOES CRIATIVAS,1,Habilidades Pessoais
SOLUTION SELLING,1,Marketing e Vendas
SOLUTIONS SELLING,1,Marketing e Vendas
SPANISH,2,Idiomas
SPORTS,1,Outros
SQL,15,Banco de Dados
SQLITE,1,Banco de Dados
START-UP ENVIRONMENT,1,Outros
START-UPS,8,Gestão de Empresas
STARTUP DEVELOPMENT,2,Gestão de Empresas
STARTUP MARKETING,1,Marketing e Vendas
STOCK EXCHANGE,1,Gestão Financeira
STOCK MARKET ANALYSIS,2,Gestão Financeira
STRATEGIC CONSULTING,1,Gestão de Empresas
STRATEGIC PLANNING,16,Gestão de Empresas
STRATEGIC SALES,1,Marketing e Vendas
STRATEGY,2,Gestão de Empresas
SUBVERSION,3,Qualidade de Software
SUPORTE TECNICO,1,Atendimento
SUPPLY CHAIN,1,Gestão de Empresas
SWIFT,4,Linguagem de Programação
SYSTEM ARCHITECTURE,1,Desenvolvimento de Sistemas
SYSTEM TESTING,1,Qualidade de Software
TABLEAU,1,BI
TALENTO VOCAL,1,Artes e Design
TDD,1,Outros
TEAM FOUNDATION SERVER,1,Qualidade de Software
TEAM LEADERSHIP,14,Gestão de Pessoas
TEAM MANAGEMENT,3,Gestão de Pessoas
TEAMWORK,4,Habilidades Pessoais
TECNOLOGIA DA INFORMACAO,1,Outros
TECNOLOGIAS EDUCACIONAIS,1,Ensino
TELECOMMUNICATIONS,1,Outros
TERCEIRIZACAO DE SERVICOS,2,Gestão de Empresas
TEST AUTOMATION,1,Qualidade de Software
TEST STRATEGY,1,Qualidade de Software
TESTE DE USABILIDADE,1,Desenvolvimento de Front-end
TESTING,1,Qualidade de Software
TESTLINK,1,Outros
TETRIZ,1,Outros
TRADE FINANCE,2,Gestão Financeira
TRADE MARKETING,5,Marketing e Vendas
TREINAMENTO,1,Ensino
TURISMO,1,Outros
TYPESCRIPT,1,Outros
UBUNTU,1,Sistemas Operacionais
UML,9,Desenvolvimento de Sistemas
UNIFIED MODELING LANGUAGE (UML),1,Desenvolvimento de Sistemas
UNIX,1,Sistemas Operacionais
UNIX SHELL SCRIPTING,2,Sistemas Operacionais
USABILIDADE,3,Desenvolvimento de Front-end
USABILITY,4,Desenvolvimento de Front-end
USABILITY ENGINEERING,1,Desenvolvimento de Front-end
USABILITY TESTING,5,Desenvolvimento de Front-end
USER EXPERIENCE,7,Desenvolvimento de Front-end
USER EXPERIENCE DESIGN,3,Desenvolvimento de Front-end
USER INTERFACE,1,Desenvolvimento de Front-end
USER INTERFACE DESIGN,4,Desenvolvimento de Front-end
USER INTERFACES,1,Desenvolvimento de Front-end
USER-CENTERED DESIGN,3,Desenvolvimento de Front-end
VALUATION,1,Outros
VARNISH CACHE,1,Outros
VBA,3,Linguagem de Programação
VENDA DE SOLUCOES DE SOFTWARE,2,Marketing e Vendas
VENDAS,10,Marketing e Vendas
VENDOR MANAGEMENT,1,Marketing e Vendas
VENDOR RELATIONS,1,Marketing e Vendas
VENTURE CAPITAL,1,Outros
VIDEO PRODUCTION,1,Artes e Design
VISAO SISTEMICA,1,Habilidades Pessoais
VISUAL BASIC,3,Linguagem de Programação
VISUAL BASIC 5.0/6.0,1,Linguagem de Programação
VISUAL DESIGN,1,Outros
VMWARE,1,Infraestrutura de TI
WEB 2.0,1,Outros
WEB ANALYTICS,5,BI
WEB APPLICATION DESIGN,1,Outros
WEB DESIGN,7,Desenvolvimento de Front-end
WEB DEVELOPMENT,10,Desenvolvimento de Sistemas
WEB HOSTING,1,Infraestrutura de TI
WEB MINING,1,Outros
WEB SERVICES,2,Desenvolvimento de Sistemas
WEB STANDARDS,2,Desenvolvimento de Sistemas
WEBKIT,1,Outros
WEBRTC,1,Outros
WEBSOCKETS,1,Outros
WEBTRENDS ANALYTICS,1,Marketing e Vendas
WINDOWS,5,Sistemas Operacionais
WINDOWS PHONE,1,Mobile
WINDOWS SERVER,1,Infraestrutura de TI
WIREFRAMES,3,Desenvolvimento de Front-end
WORDPRESS,5,Plataformas de Desenvolvimento
XML,3,Desenvolvimento de Sistemas
ZABBIX,1,Outros
