Unnamed: 0,id,usuario,timestamp,localizacao,texto,retweet,geo,coordenadas
29,1172934619433512966,ThyelloMarcelo,2019-09-14 18:06:20,brasil,"RT @RogerioCorreia_: Através de uma decisão unilateral e sem diálogo com os trabalhadores e trabalhadoras, o governo de Minas decidiu vende…",False,,
30,1172934605298704395,Leabhmg,2019-09-14 18:06:16,Belo Horizonte / MG,"RT @RogerioCorreia_: Através de uma decisão unilateral e sem diálogo com os trabalhadores e trabalhadoras, o governo de Minas decidiu vende…",False,,
31,1172932986800672768,RogerioAmorimM2,2019-09-14 17:59:50,"Rio Quente, Brasil","RT @RogerioCorreia_: Através de uma decisão unilateral e sem diálogo com os trabalhadores e trabalhadoras, o governo de Minas decidiu vende…",False,,
32,1172932840062894080,MoyenneA,2019-09-14 17:59:15,Brasil,"RT @RogerioCorreia_: Através de uma decisão unilateral e sem diálogo com os trabalhadores e trabalhadoras, o governo de Minas decidiu vende…",False,,
33,1172932573917515776,RogerioCorreia_,2019-09-14 17:58:12,Belo Horizonte,"Através de uma decisão unilateral e sem diálogo com os trabalhadores e trabalhadoras, o governo de Minas decidiu vender o prédio localizado no São Gabriel.

Nesta segunda, 16, eu e a deputada Beatriz Cerqueira visitaremos a base operacional da CEMIG, em BH. https://t.co/hMDtkKNyJH",False,,
34,1172900831823351809,frednmartins,2019-09-14 15:52:04,Bh,"@cemig_energia oi amigos, tudo bem, a instalação da minha residência não aparece na minha conta da cemig, com vou pagar os boleto da vida. Me ajuda por favor",False,,
35,1172895690030231552,it_sgio,2019-09-14 15:31:38,,"@LwithP ""Desliga essa luz que eu não sou sócia da cemig""",False,,
36,1172892551029895168,grupocorpo,2019-09-14 15:19:10,Belo Horizonte | Brasil,"A temporada de GIL no Rio vai chegando ao fim. Só até amanhã, 15/9, no lindo @theatromunicipalrj com ingressos esgotados. A gente já vai ficando com saudades.
coreografia: Rodrigo Pederneiras
música: @gilbertogil
____
patrocínio: @petrobras  @itau  @cemig_energia   @governomg https://t.co/Qk0dgHZbJg",False,,
37,1172887763353591811,EmfiSecurities,2019-09-14 15:00:08,"London, England","Cemig auction hires 476 MW capacity wind and solar plants - Terra
https://t.co/vT7m0GWK1l",False,,
38,1172881854762037248,menoremmanuel,2019-09-14 14:36:39,"Belo Horizonte, Brasil",@_anaesps Cemig e correio tão me estressando demais Ana Clara,False,,
39,1172879722545668097,Jonatas_JJ48,2019-09-14 14:28:11,"Jacareí, São Paulo","RT @AnaliseEnergia: ⚡️🔝TOP 10 DA SEMANA&gt;&gt; Notícias do setor elétrico mais lidas no terminal Eikon. Tem entrevista com Light sobre gatos, La…",False,,
40,1172877759372288000,TIAGOGIOVANNE,2019-09-14 14:20:23,,@JogadoresGalo O Ziza negóciou com o Galhardo durante 50 dias e no final não conseguiu trazer. Ziza colocou que os atleticanos pra pagar uma ajuda ao clube na conta da Cemig e no final o clube ainda ficou devendo mais do que recebeu. Ziza foi foda.,False,,
41,1172874353874264064,William__Santos,2019-09-14 14:06:51,"Castanhal, Brasil",@carlosed_18 @felipefepacivil CEMIG....,False,,
42,1172871301591158784,eeregin,2019-09-14 13:54:43,Uberlândia,@cemig_energia Protocolo 3212543832,False,,
